O n
0.0 75.2514988403
0.05 75.6286990153
0.1 76.0077898887
0.15 76.3887806288
0.2 76.7716808739
0.25 77.1565005277
0.3 77.5432490981
0.35 77.9319362519
0.4 78.3225717074
0.45 78.7151652317
0.5 79.1097266394
0.55 79.5062657943
0.6 79.9047926101
0.65 80.3053170498
0.7 80.7078491266
0.75 81.1123989039
0.8 81.5189764954
0.85 81.9275920655
0.9 82.3382558297
0.95 82.7509780545
1.0 83.1657690582
1.05 83.5826392104
1.1 84.0015989329
O f f
1.1 82.0963206963
1.15 81.6868630842
1.2 81.2794476826
1.25 80.8740646375
1.3 80.47070368
1.35 80.069354373
1.4 79.6700068042
1.45 79.2726509878
1.5 78.8772769908
1.55 78.4838749305
1.6 78.0924349712
1.65 77.7029473269
1.7 77.3154022603
1.75 76.9297900828
1.8 76.5461011541
1.85 76.1643258819
1.9 75.7844547217
1.95 75.4064781769
2.0 75.030386798
2.05 74.6561711827
2.1 74.2838219755
2.15 73.9133298678
2.2 73.5446855971
O n
2.2 72.0
2.25 72.3609019492
2.3 72.7236129023
2.35 73.0881416329
2.4 73.4544973608
2.45 73.822689563
2.5 74.1927273363
2.55 74.5646199299
2.6 74.938376642
2.65 75.314006818
2.7 75.6915198482
2.75 76.0709251703
2.8 76.4522322695
2.85 76.8354506785
2.9 77.2205899778
2.95 77.6076597958
3.0 77.9966698094
3.05 78.3876297438
3.1 78.780549373
3.15 79.17543852
3.2 79.5723070572
3.25 79.9711649061
3.3 80.3720220384
3.35 80.7748884754
3.4 81.1797742888
3.45 81.5866896007
3.5 81.9956445842
